Specific	Species	pval	Observed	Expected	Difference	BH_Padj
Soil	Schwanniomyces pseudopolymorphus	0.0872	4	1.9286	2.0714	0.251403225806452
Moss	Papiliotrema flavescens	0.088	1	0.0905	0.9095	0.252690763052209
Leaves	Cystofilobasidium macerans	0.0899	1	0.0899	0.9101	0.257114
Leaves	Candida silvanorum	0.0911	1	0.0911	0.9089	0.25950796812749
Flotsam	Lachancea thermotolerans	0.0927	1	0.0964	0.9036	0.262917322834646
Leaves	Sporidiobolales sp.	0.0932	1	0.0932	0.9068	0.262917322834646
Soil/Grass	Saccharomyces cerevisiae	0.0934	1	0.0958	0.9042	0.262917322834646
Leaves	Cryptococcus aquaticus	0.0951	1	0.0951	0.9049	0.264467181467181
Bark	Hanseniaspora osmophila	0.0952	3	1.182	1.818	0.264467181467181
Leaves	Dothiora sorbi	0.0953	1	0.0953	0.9047	0.264467181467181
Plant Matter	Pichia sp.	0.0956	1	0.0974	0.9026	0.264467181467181
Plant Matter	Metschnikowia sp.	0.0958	1	0.098	0.902	0.264467181467181
Leaves	Rhodotorula fujisanensis	0.0969	2	0.5469	1.4531	0.266475
Bark	Kluyveromyces dobzhanskii	0.0975	6	3.3591	2.6409	0.267097701149425
Fruit/Leaves	Cryptococcus sp.	0.0997	1	0.1042	0.8958	0.272068014705882
Duff	Pichia sp.	0.1006	1	0.1039	0.8961	0.272068014705882
Seed	Wickerhamomyces anomalus	0.101	1	0.1045	0.8955	0.272068014705882
Soil	Holtermanniella takashimae	0.1015	2	0.6378	1.3622	0.272068014705882
Bark	Kodamaea meredithiae	0.1018	2	0.5958	1.4042	0.272068014705882
Soil/Grass/Twigs	Saccharomyces paradoxus	0.1023	1	0.1073	0.8927	0.272068014705882
Soil	Saccharomyces cerevisiae	0.1027	10	6.7867	3.2133	0.272068014705882
Bark	Lachancea quebecensis	0.1028	2	0.5942	1.4058	0.272068014705882
Soil	Wickerhamomyces onychis	0.1029	3	1.2946	1.7054	0.272068014705882
Bark	Kwoniella betulae	0.1032	2	0.5924	1.4076	0.272068014705882
Soil	Candida coipomoensis	0.1035	2	0.6384	1.3616	0.272068014705882
Moss	Teunomyces carpophila	0.1046	1	0.1089	0.8911	0.273735401459854
Bark	Hanseniaspora vineae	0.1049	7	4.1625	2.8375	0.273735401459854
Pine Cone	Cryptococcus sp.	0.1058	1	0.1108	0.8892	0.273742857142857
Soil	Lachancea nothofagi	0.1059	3	1.307	1.693	0.273742857142857
Duff	Lachancea quebecensis	0.1062	1	0.1101	0.8899	0.273742857142857
Fruit	Pichia membranifaciens	0.1067	2	0.567	1.433	0.273742857142857
Soil	Cyberlindnera misumaiensis	0.1069	2	0.6459	1.3541	0.273742857142857
Flotsam	Saccharomyces paradoxus	0.1072	1	0.1119	0.8881	0.273742857142857
Soil	Torulaspora microellipsoides	0.1084	2	0.6486	1.3514	0.275097517730496
Duff	Cyberlindnera culbertsonii	0.1085	1	0.1123	0.8877	0.275097517730496
Needles	Candida sp.	0.1095	1	0.1159	0.8841	0.276651943462898
Soil/Plant Matter	Lachancea fermentati	0.111	1	0.1174	0.8826	0.279454225352113
Fungus	Vanrija albida	0.1139	1	0.118	0.882	0.285749122807018
Fungus	Cryptococcus surugaensis	0.1145	1	0.1177	0.8823	0.28625
Fungus	Papiliotrema wisconsinensis	0.1159	1	0.118	0.882	0.287986111111111
Fruit/Leaves	Cryptococcus flavescens	0.116	1	0.1216	0.8784	0.287986111111111
Soil/Bark	Lachancea thermotolerans	0.1176	1	0.1244	0.8756	0.290948096885813
Needles	Kluyveromyces marxianus	0.1183	1	0.1249	0.8751	0.29138698630137
Fungus	Cryptococcus pseudolongus	0.1189	1	0.1224	0.8776	0.29138698630137
Seed	Curvibasidium cygneicollum	0.119	1	0.1246	0.8754	0.29138698630137
Fruit	Rhodotorula nothofagi	0.1203	3	1.2396	1.7604	0.293564846416382
Fungus	Sugiyamaella paludigena	0.1221	1	0.1265	0.8735	0.29604347826087
Fungus	Candida glabrata	0.1222	1	0.1263	0.8737	0.29604347826087
Wood	Kluyveromyces marxianus	0.1226	1	0.1284	0.8716	0.29604347826087
Fruit/Leaves	Candida sp.	0.1234	1	0.1312	0.8688	0.29604347826087
Leaves	Candida santamariae	0.1238	2	0.6324	1.3676	0.29604347826087
Moss	Lecythophora sp.	0.1238	1	0.1312	0.8688	0.29604347826087
Plant Matter	Metschnikowia reukaufii	0.1277	1	0.1337	0.8663	0.303340531561462
Wood	Scheffersomyces ergatensis	0.1277	1	0.1347	0.8653	0.303340531561462
Seed	Hanseniaspora vineae	0.1299	1	0.1363	0.8637	0.307473597359736
Soil	Debaryomyces hansenii	0.1303	5	2.9003	2.0997	0.307473597359736
Fruit	Leucosporidium scottii	0.1313	2	0.6437	1.3563	0.307801639344262
Pine Cone	Candida sp.	0.1313	1	0.1385	0.8615	0.307801639344262
Fruit	Suhomyces bolitotheri	0.1321	2	0.6406	1.3594	0.308125407166124
Plant Matter	Schizosaccharomyces japonicus	0.1323	1	0.1389	0.8611	0.308125407166124
Fruit/Leaves	Mrakia blollopis	0.133	1	0.1402	0.8598	0.30875
Pine Cone	Mrakia blollopis	0.1359	1	0.1465	0.8535	0.314461165048544
Fruit	Starmerella bombicola	0.1381	1	0.1437	0.8563	0.317956591639871
Pine Cone	Kluyveromyces marxianus	0.1383	1	0.1456	0.8544	0.317956591639871
Soil/Plant Matter	Saccharomyces cerevisiae	0.1393	1	0.1513	0.8487	0.319229166666667
Sand	Vanrija humicola	0.1401	1	0.1484	0.8516	0.320036741214058
Duff	Candida albicans	0.1413	1	0.1484	0.8516	0.32175
Duff	Candida tropicalis	0.1424	1	0.1509	0.8491	0.323225396825397
Fruit	Kwoniella heveanensis	0.1435	1	0.1491	0.8509	0.324691455696203
Fungus	Candida sp.	0.1449	2	0.6828	1.3172	0.326824921135647
Soil/Grass	Kazachstania martiniae	0.147	1	0.1583	0.8417	0.330518867924528
Soil/Grass/Twigs	Hanseniaspora uvarum	0.1486	1	0.1574	0.8426	0.333068965517241
Nut	Scheffersomyces ergatensis	0.1495	1	0.1589	0.8411	0.333889408099688
Flower/Leaves	Candida sake	0.1499	1	0.1597	0.8403	0.333889408099688
Bark	Mrakia frigida	0.1508	3	1.3873	1.6127	0.334850931677019
Moss	Nakazawaea anatomiae/populi sp. complex	0.1515	1	0.1621	0.8379	0.335363777089783
Soil	Mrakia blollopis	0.1559	6	3.8521	2.1479	0.343463190184049
Nut	Hanseniaspora uvarum	0.1563	2	0.709	1.291	0.343463190184049
Plant Matter	Cryptococcus pinus	0.1566	1	0.1681	0.8319	0.343463190184049
